
==================== [생태하천과] (총 39개 행) ====================
  idx= 5803 | 본예산      | 세부: 생활폐기물 위탁처리                | 목: 공기관등에대한경상적위탁사업비 | 근거: Ο생활폐기물 수집운반 위탁사업 대행수수료         | 식: 96,798,850원               | 96,799.000000천원
  idx= 5804 | 본예산      | 세부: 생활폐기물 위탁처리                | 목: 공기관등에대한자본적위탁사업비 | 근거: Ο생활폐기물 수집운반 위탁사업(자본)           | 식: 4,950,000원                | 4,950.000000천원
  idx= 5805 | 본예산      | 세부: 음식물류폐기물 적정처리              | 목: 사무관리비           | 근거: Ο음식물류폐기물 납부필증(사업자용) 제작         | 식: 30,000,000원               | 30,000.000000천원
  idx= 5806 | 본예산      | 세부: 음식물류폐기물 적정처리              | 목: 사무관리비           | 근거: Ο처리수수료 고지서 제작                  | 식: 3,000,000원                | 3,000.000000천원
  idx= 5807 | 본예산      | 세부: 음식물류폐기물 적정처리              | 목: 사무관리비           | 근거: Ο음식물류 폐기물 관련 용역 원가 산정          | 식: 7,000,000원                | 7,000.000000천원
  idx= 5808 | 본예산      | 세부: 음식물류폐기물 적정처리              | 목: 사무관리비           | 근거: Ο음식물류 폐기물 발생억제 성과평가위원회 수당      | 식: 100,000원*8명               |   800.000000천원
  idx= 5809 | 본예산      | 세부: 음식물류폐기물 적정처리              | 목: 사무관리비           | 근거: Ο음식물류 폐기물 관련 홍보물 제작            | 식: 5,000,000원                | 5,000.000000천원
  idx= 5810 | 본예산      | 세부: 음식물류폐기물 적정처리              | 목: 공공운영비           | 근거: Ο종량제기기 통신요금                    | 식: 50,000,000원               | 50,000.000000천원
  idx= 5811 | 본예산      | 세부: 음식물류폐기물 적정처리              | 목: 공공운영비           | 근거: Ο처리수수료 고지서 우편요금                | 식: 400원*10,000건              | 4,000.000000천원
  idx= 5812 | 본예산      | 세부: 음식물류폐기물 적정처리              | 목: 공공운영비           | 근거: Ο고림동 음식물 적환장 운영                | 식: 10,000,000원               | 10,000.000000천원
  idx= 5813 | 추경1회     | 세부: 음식물류폐기물 적정처리              | 목: 공공운영비           | 근거: Ο종량제기기 통신요금                    | 식: 경정 55,000,000원            | 55,000.000000천원
  idx= 5814 | 본예산      | 세부: 음식물류폐기물 적정처리              | 목: 민간위탁금           | 근거: Ο음식물류 폐기물 처리대행                 | 식: 1,470,000,000원            | 1,470,000.000000천원
  idx= 5815 | 본예산      | 세부: 음식물류폐기물 적정처리              | 목: 민간위탁금           | 근거: Ο음식물류 폐기물 운송대행                 | 식: 360,000,000원              | 360,000.000000천원
  idx= 5816 | 본예산      | 세부: 음식물류폐기물 적정처리              | 목: 민간위탁금           | 근거: Ο종량제기기 및 전용수거용기 유지·위생관리        | 식: 1,400,000,000원            | 1,400,000.000000천원
  idx= 5817 | 본예산      | 세부: 용인에코타운 바이오가스화시설 운영        | 목: 공공운영비           | 근거: Ο용인에코타운 다목적체육관 공공요금(전기,수도 등)   | 식: 25,000,000원               | 25,000.000000천원
  idx= 5818 | 본예산      | 세부: 용인에코타운 바이오가스화시설 운영        | 목: 기타보상금           | 근거: Ο용인에코타운 주민감시요원 수당              | 식: 90,830원*155일*2명           | 28,158.000000천원
  idx= 5819 | 본예산      | 세부: 용인에코타운 바이오가스화시설 운영        | 목: 기타보상금           | 근거: Ο용인에코타운 주민감시요원 피복비             | 식: 150,000원*2회*2명            |   600.000000천원
  idx= 5820 | 본예산      | 세부: 용인에코타운 바이오가스화시설 운영        | 목: 민간위탁금           | 근거: Ο용인에코타운 바이오가스화시설 사용료           | 식: 96,456원*200톤*365일*0.5     | 3,520,644.000000천원
  idx= 5821 | 추경1회     | 세부: 환경기초시설 위탁운영               | 목: 사무관리비           | 근거: Ο폐기물처리시설 위탁기관선정위원회 참석수당        | 식: 150,000원*10명              | 1,500.000000천원
  idx= 5822 | 본예산      | 세부: 환경기초시설 위탁운영               | 목: 시책추진업무추진비       | 근거: Ο환경기초시설 위탁운영 업무추진              | 식: 900,000원                  |   900.000000천원
  idx= 5823 | 본예산      | 세부: 환경기초시설 위탁운영               | 목: 연구용역비           | 근거: Ο폐기물처리시설 민간위탁비용 원가산정용역         | 식: 20,000,000원               | 20,000.000000천원
  idx= 5824 | 본예산      | 세부: 환경기초시설 위탁운영               | 목: 연구용역비           | 근거: Ο폐기물처리시설 민간위탁 종합성과평가           | 식: 20,000,000원               | 20,000.000000천원
  idx= 5825 | 본예산      | 세부: 환경기초시설 위탁운영               | 목: 민간위탁금           | 근거: Ο수지환경센터(35톤/일*2기)              | 식: 8,900,000,000원            | 8,900,000.000000천원
  idx= 5826 | 본예산      | 세부: 환경기초시설 위탁운영               | 목: 민간위탁금           | 근거: Ο자동집하시설                        | 식: 1,700,000,000원            | 1,700,000.000000천원
  idx= 5827 | 본예산      | 세부: 환경기초시설 위탁운영               | 목: 민간위탁금           | 근거: Ο용인환경센터                        | 식: 15,300,000,000원           | 15,300,000.000000천원
  idx= 5828 | 본예산      | 세부: 환경기초시설 위탁운영               | 목: 민간위탁금           | 근거: Ο잉여폐기물 처리비                     | 식: 3,860,000,000원            | 3,860,000.000000천원
  idx= 5829 | 본예산      | 세부: 환경기초시설 위탁운영               | 목: 자치단체간부담금        | 근거: Ο폐기물처분부담금                      | 식: 1,300,000,000원            | 1,300,000.000000천원
  idx= 5830 | 본예산      | 세부: 환경기초시설 위탁운영               | 목: 공기관등에대한경상적위탁사업비 | 근거: Ο용인시민체육센터 위탁운영(경상)             | 식: 3,728,689,000원            | 3,728,689.000000천원
  idx= 5831 | 본예산      | 세부: 환경기초시설 위탁운영               | 목: 공기관등에대한경상적위탁사업비 | 근거: Ο용인시민체육센터 위탁운영 대행수수료           | 식: 186,434,450원              | 186,435.000000천원
  idx= 5832 | 본예산      | 세부: 환경기초시설 위탁운영               | 목: 공기관등에대한자본적위탁사업비 | 근거: Ο용인시민체육센터 위탁운영(자본)             | 식: 1,238,189,000원            | 1,238,189.000000천원
  idx= 5833 | 추경1회     | 세부: 환경기초시설 위탁운영               | 목: 공기관등에대한자본적위탁사업비 | 근거: Ο용인시민체육센터 위탁운영(자본)             | 식: 경정 1,255,789,000원         | 1,255,789.000000천원
  idx= 5834 | 본예산      | 세부: 재활용운영 및 방치폐기물 처리          | 목: 사무관리비           | 근거: Ο재활용품 분리배출 전용 비닐 제작            | 식: 40,000,000원               | 40,000.000000천원
  idx= 5835 | 본예산      | 세부: 재활용운영 및 방치폐기물 처리          | 목: 사무관리비           | 근거: Ο구성적환장 폐기물 처리비                 | 식: 5,000,000원                | 5,000.000000천원
  idx= 5836 | 본예산      | 세부: 재활용운영 및 방치폐기물 처리          | 목: 사무관리비           | 근거: Ο재활용 홍보물 제작                    | 식: 10,000,000원               | 10,000.000000천원
  idx= 5837 | 본예산      | 세부: 재활용운영 및 방치폐기물 처리          | 목: 사무관리비           | 근거: Ο재활용품 수집용 마대 제작                | 식: 550원*2,773매*4회            | 6,101.000000천원
  idx= 5838 | 본예산      | 세부: 재활용운영 및 방치폐기물 처리          | 목: 사무관리비           | 근거: Ο재활용품 분리수거함 제작                 | 식: 5,000,000원                | 5,000.000000천원
  idx= 5839 | 본예산      | 세부: 재활용운영 및 방치폐기물 처리          | 목: 사무관리비           | 근거: Ο국유재산 대부료                      | 식: 200,000원                  |   200.000000천원
  idx= 5840 | 본예산      | 세부: 재활용운영 및 방치폐기물 처리          | 목: 사무관리비           | 근거: Ο자원순환 보상사업(폐건전지, 종이팩 등)        | 식: nan                       | 60,000.000000천원
  idx= 5841 | 본예산      | 세부: 재활용운영 및 방치폐기물 처리          | 목: 사무관리비           | 근거:   ο종량제봉투                       | 식: 350원*28,857장*4회           | 40,400.000000천원
  idx= 5842 | 본예산      | 세부: 재활용운영 및 방치폐기물 처리          | 목: 사무관리비           | 근거:   ο화장지                         | 식: 350원*14,000롤*4회           | 19,600.000000천원
  idx= 5843 | 본예산      | 세부: 재활용운영 및 방치폐기물 처리          | 목: 공공운영비           | 근거: Ο재활용품(PET 등) 무인회수기 관리          | 식: 346,500원*14대*12월          | 58,212.000000천원
  idx= 5844 | 본예산      | 세부: 용인 자원순환가게 운영              | 목: 사무관리비           | 근거: Ο물품구입 및 홍보비                    | 식: 500,000원                  |   500.000000천원
