=== [민생경제과] 시스템: 45,194,563천원 | PDF목표: 33,194,563천원 | 차액: +12,000,000천원 ===
      예산구분                         세부사업명             통계목명                          산출근거명                       산출근거식   예산액_num       정산 상태
3772  추경1회                   보전지출(민생경제과)       시ㆍ도비보조금반환금    Ο2023년 사회적경제 중간지원조직 인력지원 사업                  1,184,630원      1185     ✅ 정산 포함
3773  추경1회                   보전지출(민생경제과)           기타반환금등        Ο2024년 노후전선 정비사업 상인회자부담                  6,808,190원      6809     ✅ 정산 포함
3774  추경1회                   보전지출(민생경제과)           기타반환금등         Ο2024년 노후전선 정비사업 한전부담금                  6,803,830원      6804     ✅ 정산 포함

================================================================================

=== [노인복지과] 시스템: 446,696,167천원 | PDF목표: 439,467,167천원 | 차액: +7,229,000천원 ===
      예산구분                     세부사업명                   통계목명                            산출근거명                산출근거식    예산액_num       정산 상태
3000   본예산                   효도수당 지원   사회보장적수혜금(취약계층, 지방재원)                         Ο효도수당 지원      30,000원*15명*12월       5400     ✅ 정산 포함
3001   본예산                 노인의 날 기념식                  행사운영비                       Ο노인의 날 기념식          20,000,000원      20000     ✅ 정산 포함
3002   본예산           노인일자리 및 사회활동 지원                  사무관리비         Ο노인일자리 및 사회활동 지원(구청-운영비)         138,600,000원     138600  🔄 경정 대체 제외
3003  추경1회           노인일자리 및 사회활동 지원                  사무관리비         Ο노인일자리 및 사회활동 지원(구청-운영비)      경정 138,600,000원     138600     ✅ 정산 포함
3004   본예산           노인일자리 및 사회활동 지원              시책추진업무추진비             Ο노인복지증진 및 노인일자리 업무추진           2,700,000원       2700     ✅ 정산 포함
3005   본예산           노인일자리 및 사회활동 지원       사회보장적수혜금(국고보조재원)         Ο노인일자리 및 사회활동 지원(구청-활동비)       2,456,300,000원    2456300  🔄 경정 대체 제외
3006  추경1회           노인일자리 및 사회활동 지원       사회보장적수혜금(국고보조재원)         Ο노인일자리 및 사회활동 지원(구청-활동비)    경정 2,456,300,000원    2456300     ✅ 정산 포함
3007   본예산           노인일자리 및 사회활동 지원               사회복지사업보조                 Ο노인일자리 및 사회활동 지원      24,345,924,000원   24345924  🔄 경정 대체 제외
3008  추경1회           노인일자리 및 사회활동 지원               사회복지사업보조                 Ο노인일자리 및 사회활동 지원   경정 24,345,924,000원   24345924     ✅ 정산 포함
3009   본예산       노인일자리 수행기관 전담인력 인건비         공무직(무기계약)근로자보수          Ο노인일자리전담 구청 공무직 근로자 인건비          93,006,000원      93006     ✅ 정산 포함
