
==================== [복지정책과] (총 169개 행) ====================
  idx= 2859 | 본예산      | 세부: 자활근로, 지역자활센터 및 광역자활센터 운영(지역자활센터) | 목: 사회복지사업보조        | 근거: Ο지역자활센터 운영                     | 식: 495,850,000원              | 495,850.000000천원
  idx= 2860 | 본예산      | 세부: 지역자활센터 종사자 특수근무수당         | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο지역자활센터 종사자 특수근무수당             | 식: 15,600,000원               | 15,600.000000천원
  idx= 2861 | 본예산      | 세부: 지역자활센터 종사자 처우개선비          | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο지역자활센터 종사자 처우개선비              | 식: 7,200,000원                | 7,200.000000천원
  idx= 2862 | 본예산      | 세부: 통장사례관리 운영                 | 목: 사회복지사업보조        | 근거: Ο통장사례관리 운영                     | 식: 39,400,000원               | 39,400.000000천원
  idx= 2863 | 본예산      | 세부: 용인지역자활센터 종사자 처우개선비(시비)    | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο용인지역자활센터 종사자 처우개선비            | 식: 100,000원*12명*12월          | 14,400.000000천원
  idx= 2864 | 본예산      | 세부: 사례관리 전달체계 개선(자활사례관리)      | 목: 사회복지사업보조        | 근거: Ο자활사례관리                        | 식: 32,520,000원               | 32,520.000000천원
  idx= 2865 | 추경1회     | 세부: 지역자활센터 웰빙보조비              | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο지역자활센터 종사자 웰빙보조비              | 식: 2,880,000원                | 2,880.000000천원
  idx= 2866 | 본예산      | 세부: 자활기금운용 심의위원회 운영           | 목: 사무관리비           | 근거: Ο자활기금운용 심의위원회 심의수당             | 식: 7,000,000원                | 7,000.000000천원
  idx= 2867 | 본예산      | 세부: 종합사회복지관 운영                | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο종합사회복지관 종사자 처우개선비             | 식: 100,000원*15명*12월          | 18,000.000000천원
  idx= 2868 | 본예산      | 세부: 종합사회복지관 운영                | 목: 사회복지시설법정운영비보조   | 근거: Ο종합사회복지관 운영 지원                 | 식: 850,545,000원              | 850,545.000000천원
  idx= 2869 | 본예산      | 세부: 종합사회복지관 종사자 처우개선비         | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο사회복지시설 종사자 처우개선비              | 식: 9,000,000원                | 9,000.000000천원
  idx= 2870 | 본예산      | 세부: 종합사회복지관 종사자 특수근무수당        | 목: 사회보장적수혜금(취약계층, 지방재원) | 근거: Ο사회복지시설 종사자 특수근무수당             | 식: 25,800,000원               | 25,800.000000천원
  idx= 2871 | 본예산      | 세부: 사회복지협의회 운영                | 목: 사회복지시설법정운영비보조   | 근거: Ο사회복지협의회 운영비 지원                | 식: 143,165,000원              | 143,165.000000천원
