회계연도,예산구분,분야명,부문명,위원회명,정책사업명,단위사업명,회계코드,회계명,세부사업명,자체보조구분명,부서명,편성목,편성목명,통계목,통계목명,의무/재량구분,산출근거명,산출근거식,예산액,기정액,비교증감,국고보조금,Unnamed: 23,Unnamed: 24,균특보조금,Unnamed: 26,Unnamed: 27,기금보조금,Unnamed: 29,Unnamed: 30,특별교부세,Unnamed: 32,Unnamed: 33,분권교부세,Unnamed: 35,Unnamed: 36,광역보조금,Unnamed: 38,Unnamed: 39,재정보전금,Unnamed: 41,Unnamed: 42,특별조정교부금,Unnamed: 44,Unnamed: 45,자체재원,Unnamed: 47,Unnamed: 48,지방채,Unnamed: 50,Unnamed: 51,기타,Unnamed: 53,Unnamed: 54,예산액_num,기정액_num,비교증감_num,국고보조금_num,균특보조금_num,기금보조금_num,특별교부세_num,광역보조금_num,특별조정교부금_num,자체재원_num,예산액_원,예산액_억원,기정액_억원,비교증감_억원
2026,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100.0,일반회계,공직자 재산등록,자체,감사관,201.0,일반운영비,201-01,사무관리비,-,Ο공직자재산등록 금융거래 수수료 및 통신비,-,450,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,450,0,0,0,0,0,0,450,0,450,0,0,0,0,0,0,450,450000.0,0.0045,0.0,0.0045
2026,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100.0,일반회계,공직자 재산등록,자체,감사관,201.0,일반운영비,201-01,사무관리비,재량,ο공직자재산등록 금융거래 수수료,"1,500원*270명",405,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,405,0,0,0,0,0,0,405,0,405,0,0,0,0,0,0,405,405000.0,0.00405,0.0,0.00405
2026,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100.0,일반회계,공직자 재산등록,자체,감사관,201.0,일반운영비,201-01,사무관리비,재량,ο공직자재산등록 통신비,"30원*1,500명",45,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,45,0,0,0,0,0,0,45,0,45,0,0,0,0,0,0,45,45000.0,0.00045,0.0,0.00045
2026,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100.0,일반회계,공직자 재산등록,자체,감사관,201.0,일반운영비,201-01,사무관리비,재량,Ο연차보고서 및 홍보물 제작,"2,000,000원","2,000",0,"2,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,000",0,"2,000",0,0,0,0,0,0,2000,0,2000,0,0,0,0,0,0,2000,2000000.0,0.02,0.0,0.02
2026,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100.0,일반회계,효율적인 계약심사 추진,자체,감사관,201.0,일반운영비,201-01,사무관리비,재량,Ο물가정보지 등 구입,"396,000원*4종","1,584",0,"1,584",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,584",0,"1,584",0,0,0,0,0,0,1584,0,1584,0,0,0,0,0,0,1584,1584000.0,0.01584,0.0,0.01584
2026,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100.0,일반회계,효율적인 계약심사 추진,자체,감사관,201.0,일반운영비,201-01,사무관리비,재량,Ο표준품셈 구입,"73,000원*4종",292,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,292,0,0,0,0,0,0,292,0,292,0,0,0,0,0,0,292,292000.0,0.00292,0.0,0.00292
2026,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100.0,일반회계,내부통제기능 강화,자체,감사관,201.0,일반운영비,201-01,사무관리비,재량,Ο헬프라인(Help-Line) 시스템 유지보수,"1,100,000원*4회","4,400",0,"4,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,400",0,"4,400",0,0,0,0,0,0,4400,0,4400,0,0,0,0,0,0,4400,4400000.0,0.044,0.0,0.044
2026,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100.0,일반회계,내부통제기능 강화,자체,감사관,308.0,자치단체등이전,308-13,공기관등에대한경상적위탁사업비,재량,Ο청백-e시스템 유지관리,"17,500,000원","17,500",0,"17,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,500",0,"17,500",0,0,0,0,0,0,17500,0,17500,0,0,0,0,0,0,17500,17500000.0,0.175,0.0,0.175
2026,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100.0,일반회계,시민고충처리위원회 지원,자체,감사관,201.0,일반운영비,201-01,사무관리비,법정의무,Ο시민고충처리위원회 회의 참석수당,"100,000원*7명*4회","2,800",0,"2,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,800",0,"2,800",0,0,0,0,0,0,2800,0,2800,0,0,0,0,0,0,2800,2800000.0,0.028,0.0,0.028
2026,본예산,일반공공행정,일반행정,자치행정위원회,깨끗한 공직풍토 조성,감사활동수행,100.0,일반회계,시민고충처리위원회 지원,자체,감사관,201.0,일반운영비,201-01,사무관리비,법정의무,Ο시민고충처리위원회 안건 심사수당,"70,000원*7명*3회","1,470",0,"1,470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,470",0,"1,470",0,0,0,0,0,0,1470,0,1470,0,0,0,0,0,0,1470,1470000.0,0.0147,0.0,0.0147
